query,token,frequency
continents,identifier,3
continents,*,1
continents,BY,1
continents,FROM,1
continents,IS,1
continents,NULL,1
continents,ORDER,1
continents,SELECT,1
continents,WHERE,1
siblings_and_parents,identifier,27
siblings_and_parents,.,12
siblings_and_parents,LEVEL,6
siblings_and_parents,AS,5
siblings_and_parents,=,4
siblings_and_parents,*,3
siblings_and_parents,FROM,3
siblings_and_parents,INNER,3
siblings_and_parents,JOIN,3
siblings_and_parents,ON,3
siblings_and_parents,SELECT,3
siblings_and_parents,(,1
siblings_and_parents,),1
siblings_and_parents,",",1
siblings_and_parents,BY,1
siblings_and_parents,DESC,1
siblings_and_parents,IS,1
siblings_and_parents,NULL,1
siblings_and_parents,OR,1
siblings_and_parents,ORDER,1
siblings_and_parents,RECURSIVE,1
siblings_and_parents,UNION,1
siblings_and_parents,WHERE,1
siblings_and_parents,WITH,1
no_login_users,identifier,6
no_login_users,.,5
no_login_users,USER,4
no_login_users,SESSION,3
no_login_users,=,1
no_login_users,AS,1
no_login_users,BY,1
no_login_users,FROM,1
no_login_users,IS,1
no_login_users,JOIN,1
no_login_users,LEFT,1
no_login_users,NULL,1
no_login_users,ON,1
no_login_users,ORDER,1
no_login_users,SELECT,1
no_login_users,WHERE,1
num_valid_sessions,identifier,9
num_valid_sessions,.,7
num_valid_sessions,USER,5
num_valid_sessions,SESSION,4
num_valid_sessions,AS,2
num_valid_sessions,BY,2
num_valid_sessions,IS,2
num_valid_sessions,NULL,2
num_valid_sessions,(,1
num_valid_sessions,),1
num_valid_sessions,",",1
num_valid_sessions,=,1
num_valid_sessions,AND,1
num_valid_sessions,FROM,1
num_valid_sessions,GROUP,1
num_valid_sessions,JOIN,1
num_valid_sessions,LEFT,1
num_valid_sessions,NOT,1
num_valid_sessions,ON,1
num_valid_sessions,ORDER,1
num_valid_sessions,SELECT,1
num_valid_sessions,SUM,1
multi_profile_users,identifier,7
multi_profile_users,BY,2
multi_profile_users,(,1
multi_profile_users,),1
multi_profile_users,",",1
multi_profile_users,0,1
multi_profile_users,>,1
multi_profile_users,AS,1
multi_profile_users,COUNT,1
multi_profile_users,FROM,1
multi_profile_users,GROUP,1
multi_profile_users,HAVING,1
multi_profile_users,ORDER,1
multi_profile_users,SELECT,1
owned_real_estate_region_count,identifier,11
owned_real_estate_region_count,.,6
owned_real_estate_region_count,USER,5
owned_real_estate_region_count,AS,2
owned_real_estate_region_count,BY,2
owned_real_estate_region_count,(,1
owned_real_estate_region_count,),1
owned_real_estate_region_count,",",1
owned_real_estate_region_count,=,1
owned_real_estate_region_count,COUNT,1
owned_real_estate_region_count,DISTINCT,1
owned_real_estate_region_count,FROM,1
owned_real_estate_region_count,GROUP,1
owned_real_estate_region_count,JOIN,1
owned_real_estate_region_count,LEFT,1
owned_real_estate_region_count,ON,1
owned_real_estate_region_count,ORDER,1
owned_real_estate_region_count,SELECT,1
profile_counts_by_non_google_user,identifier,16
profile_counts_by_non_google_user,.,8
profile_counts_by_non_google_user,USER,5
profile_counts_by_non_google_user,(,3
profile_counts_by_non_google_user,),3
profile_counts_by_non_google_user,AS,3
profile_counts_by_non_google_user,COUNT,3
profile_counts_by_non_google_user,",",2
profile_counts_by_non_google_user,=,2
profile_counts_by_non_google_user,BY,2
profile_counts_by_non_google_user,0,1
profile_counts_by_non_google_user,FROM,1
profile_counts_by_non_google_user,GROUP,1
profile_counts_by_non_google_user,HAVING,1
profile_counts_by_non_google_user,JOIN,1
profile_counts_by_non_google_user,LEFT,1
profile_counts_by_non_google_user,ON,1
profile_counts_by_non_google_user,ORDER,1
profile_counts_by_non_google_user,SELECT,1
avg_daily_price_by_user_by_booking_length_category,identifier,60
avg_daily_price_by_user_by_booking_length_category,(,23
avg_daily_price_by_user_by_booking_length_category,),23
avg_daily_price_by_user_by_booking_length_category,",",17
avg_daily_price_by_user_by_booking_length_category,.,12
avg_daily_price_by_user_by_booking_length_category,'string literal',10
avg_daily_price_by_user_by_booking_length_category,-,6
avg_daily_price_by_user_by_booking_length_category,0,5
avg_daily_price_by_user_by_booking_length_category,>=,5
avg_daily_price_by_user_by_booking_length_category,THEN,5
avg_daily_price_by_user_by_booking_length_category,USER,5
avg_daily_price_by_user_by_booking_length_category,WHEN,5
avg_daily_price_by_user_by_booking_length_category,AS,4
avg_daily_price_by_user_by_booking_length_category,=,2
avg_daily_price_by_user_by_booking_length_category,BY,2
avg_daily_price_by_user_by_booking_length_category,FROM,2
avg_daily_price_by_user_by_booking_length_category,JOIN,2
avg_daily_price_by_user_by_booking_length_category,SELECT,2
avg_daily_price_by_user_by_booking_length_category,SUM,2
avg_daily_price_by_user_by_booking_length_category,/,1
avg_daily_price_by_user_by_booking_length_category,AND,1
avg_daily_price_by_user_by_booking_length_category,CASE,1
avg_daily_price_by_user_by_booking_length_category,CROSS,1
avg_daily_price_by_user_by_booking_length_category,END,1
avg_daily_price_by_user_by_booking_length_category,GROUP,1
avg_daily_price_by_user_by_booking_length_category,LEFT,1
avg_daily_price_by_user_by_booking_length_category,ON,1
avg_daily_price_by_user_by_booking_length_category,ORDER,1
avg_daily_price_by_user_by_booking_length_category,VALUES,1
avg_daily_price_by_user_by_booking_length_category,WITH,1
top_n_booked_regions_for_user_x,identifier,22
top_n_booked_regions_for_user_x,.,6
top_n_booked_regions_for_user_x,=,3
top_n_booked_regions_for_user_x,(,2
top_n_booked_regions_for_user_x,),2
top_n_booked_regions_for_user_x,",",2
top_n_booked_regions_for_user_x,AS,2
top_n_booked_regions_for_user_x,BY,2
top_n_booked_regions_for_user_x,FROM,2
top_n_booked_regions_for_user_x,INNER,2
top_n_booked_regions_for_user_x,JOIN,2
top_n_booked_regions_for_user_x,ON,2
top_n_booked_regions_for_user_x,SELECT,2
top_n_booked_regions_for_user_x,COUNT,1
top_n_booked_regions_for_user_x,DESC,1
top_n_booked_regions_for_user_x,GROUP,1
top_n_booked_regions_for_user_x,LIMIT,1
top_n_booked_regions_for_user_x,ORDER,1
top_n_booked_regions_for_user_x,WHERE,1
northest_booked_latitude_slow,identifier,18
northest_booked_latitude_slow,.,10
northest_booked_latitude_slow,USER,5
northest_booked_latitude_slow,=,3
northest_booked_latitude_slow,JOIN,3
northest_booked_latitude_slow,LEFT,3
northest_booked_latitude_slow,LOCATION,3
northest_booked_latitude_slow,ON,3
northest_booked_latitude_slow,AS,2
northest_booked_latitude_slow,BY,2
northest_booked_latitude_slow,(,1
northest_booked_latitude_slow,),1
northest_booked_latitude_slow,",",1
northest_booked_latitude_slow,FROM,1
northest_booked_latitude_slow,GROUP,1
northest_booked_latitude_slow,MAX,1
northest_booked_latitude_slow,ORDER,1
northest_booked_latitude_slow,SELECT,1
northest_booked_latitude_fast,identifier,33
northest_booked_latitude_fast,.,15
northest_booked_latitude_fast,USER,5
northest_booked_latitude_fast,(,4
northest_booked_latitude_fast,),4
northest_booked_latitude_fast,=,4
northest_booked_latitude_fast,JOIN,4
northest_booked_latitude_fast,ON,4
northest_booked_latitude_fast,",",3
northest_booked_latitude_fast,AS,3
northest_booked_latitude_fast,BY,3
northest_booked_latitude_fast,LEFT,3
northest_booked_latitude_fast,LOCATION,3
northest_booked_latitude_fast,FROM,2
northest_booked_latitude_fast,GROUP,2
northest_booked_latitude_fast,MAX,2
northest_booked_latitude_fast,SELECT,2
northest_booked_latitude_fast,INNER,1
northest_booked_latitude_fast,ORDER,1
northest_booked_latitude_fast,WITH,1
