db,query,token_count,token_entropy,node_count,weighted_node_count,halstead_vocabulary,halstead_length,halstead_estimated_length,halstead_volume,halstead_difficulty,halstead_effort
SQL,continents,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029743127534925643,0.00041273690542713087
SQL,multi_profile_users,0.029498525073746312,0.2315703225195521,0.02727272727272727,0.03435114503816794,0.05263157894736842,0.025454545454545455,0.03417438839210412,0.017121764230735893,0.138801261829653,0.006649863136888187
SQL,no_login_users,0.05604719764011799,0.13552369081170207,0.02727272727272727,0.03435114503816794,0.06578947368421052,0.025454545454545455,0.04373016900468317,0.01807650401315635,0.14210605377797805,0.007015927777710284
SQL,owned_real_estate_region_count,0.08259587020648967,0.3145976849176002,0.04090909090909091,0.04198473282442748,0.09210526315789473,0.03636363636363636,0.06238727774889317,0.02649421004229344,0.14871563767462823,0.009440474981500243
SQL,num_valid_sessions,0.10619469026548672,0.3590487316663521,0.05909090909090909,0.06870229007633588,0.14473684210526316,0.05090909090909091,0.10322322856804426,0.03955658305107964,0.22142106053777977,0.017538257515041823
SQL,profile_counts_by_non_google_user,0.13274336283185842,0.39465503695167303,0.08181818181818182,0.0916030534351145,0.15789473684210525,0.07272727272727272,0.1141354849290751,0.05516872263205872,0.18341595313204145,0.019701322929333444
SQL,top_n_booked_regions_for_user_x,0.1415929203539823,0.538781899147821,0.1,0.1297709923664122,0.18421052631578946,0.09454545454545454,0.1356183285818408,0.07244104055377669,0.22040420147675668,0.02868431225701938
SQL,northest_booked_latitude_slow,0.14454277286135694,0.3674462966041764,0.08636363636363636,0.10305343511450382,0.17105263157894737,0.08,0.1267799973456565,0.06123276588572077,0.12322152835897765,0.016040853845481973
SQL,siblings_and_parents,0.22123893805309736,0.4222383444931586,0.19090909090909092,0.2480916030534351,0.18421052631578946,0.16363636363636364,0.1350652237578208,0.12040993528892882,0.5146462370437135,0.09223629707248295
SQL,northest_booked_latitude_fast,0.25958702064896755,0.4876436135313564,0.17272727272727273,0.21374045801526717,0.3026315789473684,0.15272727272727274,0.24322329937335038,0.12639722593299538,0.22142106053777977,0.047251715714799365
SQL,avg_daily_price_by_user_by_booking_length_category,0.5663716814159292,0.6437433948648763,0.4818181818181818,0.5381679389312977,0.5131578947368421,0.38181818181818183,0.44709359572377083,0.339422673185187,0.6917675791187545,0.3167807151394223
C#/Entity,continents,0.09144542772861357,0.32753103295423047,0.12727272727272726,0.0916030534351145,0.15789473684210525,0.09454545454545454,0.11352931797628717,0.06987729550194276,0.2550698512843623,0.03130953804029116
C#/Entity,multi_profile_users,0.0855457227138643,0.2971431471701042,0.12272727272727273,0.08778625954198473,0.14473684210526316,0.09090909090909091,0.10290566855578438,0.06609015937824186,0.2676881478143308,0.03108134850898902
C#/Entity,no_login_users,0.061946902654867256,0.29358903991215896,0.09090909090909091,0.06870229007633588,0.13157894736842105,0.06545454545454546,0.09327012257284156,0.04809002891947486,0.2577737719693556,0.023195898475137675
C#/Entity,owned_real_estate_region_count,0.11209439528023599,0.39698788975142224,0.1409090909090909,0.10305343511450382,0.18421052631578946,0.10545454545454545,0.1356183285818408,0.08001507656459018,0.1898984296460637,0.027823486787704688
C#/Entity,num_valid_sessions,0.10619469026548672,0.47942133020591565,0.13636363636363635,0.10687022900763359,0.21052631578947367,0.10181818181818182,0.15715423436337447,0.07997451520984099,0.24175824175824176,0.03366225095140727
C#/Entity,profile_counts_by_non_google_user,0.22418879056047197,0.47173783883612086,0.2772727272727273,0.2633587786259542,0.25,0.21454545454545454,0.19139935954200435,0.1665259426898078,0.44614691302388465,0.10922105165436878
C#/Entity,top_n_booked_regions_for_user_x,0.2743362831858407,0.7858733700470006,0.3090909090909091,0.2748091603053435,0.47368421052631576,0.24,0.4053982650234127,0.21395969791217315,0.3880769973604584,0.12228655051224596
C#/Entity,northest_booked_latitude_slow,0.43952802359882004,0.739366997478776,0.5318181818181819,0.5,0.5,0.41818181818181815,0.4314324666574721,0.36849126536868754,0.6690494320212584,0.3325378947690721
C#/Entity,siblings_and_parents,0.5221238938053098,0.7689432243417597,0.5863636363636363,0.583969465648855,0.4868421052631579,0.4618181818181818,0.41541260039533084,0.4033375536318094,0.922036953582695,0.48760451505111424
C#/Entity,northest_booked_latitude_fast,0.49852507374631266,0.7602206545758162,0.5545454545454546,0.5152671755725191,0.4605263157894737,0.43636363636363634,0.39527227591171005,0.3771407798533306,0.5972556759024724,0.3068515523189575
C#/Entity,avg_daily_price_by_user_by_booking_length_category,0.8407079646017699,0.8548576236410133,1.0,1.0,0.7368421052631579,0.7927272727272727,0.6874688057269701,0.7470670332545755,1.0,0.9585361426118845
MongoDB,continents,0.0943952802359882,0.07739367410680784,0.06818181818181818,0.03435114503816794,0.039473684210526314,0.02181818181818182,0.030049613258074523,0.014089736732033082,0.009914375844975214,0.0013560795114723487
MongoDB,multi_profile_users,0.10619469026548672,0.031063143570440276,0.07727272727272727,0.04961832061068702,0.039473684210526314,0.02181818181818182,0.0256039165755984,0.014089736732033082,0.07223330972767658,0.0035565970461252337
MongoDB,no_login_users,0.07374631268436578,0.0018929006201708412,0.05,0.019083969465648856,0.0,0.0036363636363636364,0.0014393985186618142,0.0017691903228571214,0.0,0.0
MongoDB,owned_real_estate_region_count,0.15634218289085547,0.21724935352515506,0.11363636363636363,0.10687022900763359,0.14473684210526316,0.04363636363636364,0.10322322856804426,0.03473229644614106,0.1252816584046868,0.010157937970619332
MongoDB,num_valid_sessions,0.13569321533923304,0.17918437423083086,0.1,0.06870229007633588,0.11842105263157894,0.03636363636363636,0.08264647315233876,0.028296133965573098,0.10509238395673728,0.007633392719845713
MongoDB,profile_counts_by_non_google_user,0.37168141592920356,0.22731645049421548,0.2818181818181818,0.2480916030534351,0.2236842105263158,0.13454545454545455,0.17054571612278244,0.10475355959326837,0.22803064443442994,0.04078452752423697
MongoDB,top_n_booked_regions_for_user_x,0.35988200589970504,0.26760299058049813,0.2727272727272727,0.2480916030534351,0.3026315789473684,0.14181818181818182,0.24138993700825154,0.118025464824836,0.27561964849031095,0.05292860998467485
MongoDB,northest_booked_latitude_slow,0.6076696165191741,0.3022458317178778,0.4636363636363636,0.4351145038167939,0.40789473684210525,0.24363636363636362,0.34080761054574055,0.2098171010299597,0.5016674177557459,0.15022532031639163
MongoDB,siblings_and_parents,0.5309734513274337,0.36651997696432714,0.40454545454545454,0.38549618320610685,0.5,0.22545454545454546,0.43006225301861006,0.20418529078366104,0.536084465331874,0.15535419630780903
MongoDB,northest_booked_latitude_fast,0.5545722713864307,0.2565341353457149,0.42272727272727273,0.3969465648854962,0.32894736842105265,0.22545454545454546,0.26531230997890404,0.18567479858125782,0.4829717375909355,0.12957025958682614
MongoDB,avg_daily_price_by_user_by_booking_length_category,0.9793510324483776,0.4058182372256906,0.75,0.6984732824427481,0.618421052631579,0.38545454545454544,0.5578322337752089,0.35681366235711104,0.6942742652521835,0.33345427855859944
CoreData,continents,0.16224188790560473,0.5634300087498713,0.1409090909090909,0.10687022900763359,0.3157894736842105,0.17454545454545456,0.2514005175602701,0.1445530446044433,0.2812551884442969,0.06476088873868635
CoreData,multi_profile_users,0.3834808259587021,0.8244037897801635,0.33181818181818185,0.27099236641221375,0.618421052631579,0.37454545454545457,0.5625725466725304,0.34709010474155905,0.35412116800129423,0.17943981625911581
CoreData,no_login_users,0.18584070796460178,0.6519704198006743,0.15454545454545454,0.12213740458015267,0.3684210526315789,0.1781818181818182,0.3012773231764093,0.1527115102080367,0.2550698512843623,0.06293146474840612
CoreData,owned_real_estate_region_count,0.5073746312684366,0.8216303627281505,0.4318181818181818,0.37786259541984735,0.5789473684210527,0.48363636363636364,0.5143747647094825,0.43803028711323766,0.5622034302680062,0.33588869264053384
CoreData,num_valid_sessions,0.15339233038348082,0.5614232773168478,0.13636363636363635,0.10305343511450382,0.3157894736842105,0.16,0.2514005175602701,0.1332915879370638,0.26664452930433336,0.057549913067454966
CoreData,profile_counts_by_non_google_user,0.5309734513274337,0.8693528264032933,0.4954545454545455,0.4541984732824427,0.6842105263157895,0.5236363636363637,0.6295531745562362,0.49051459218452625,0.5689884478835776,0.37893265133070614
CoreData,top_n_booked_regions_for_user_x,0.551622418879056,0.8908179963652202,0.509090909090909,0.49236641221374045,0.6842105263157895,0.5418181818181819,0.6254658335170211,0.5070648309129655,0.7023953964017056,0.4734500503020328
CoreData,northest_booked_latitude_slow,0.41297935103244837,0.7964314866233592,0.34545454545454546,0.30916030534351147,0.5789473684210527,0.3890909090909091,0.5163507314752868,0.35491213218019013,0.44048155539818457,0.2210163510689616
CoreData,siblings_and_parents,0.5014749262536873,0.871316377455222,0.5227272727272727,0.4961832061068702,0.631578947368421,0.56,0.5645207259784544,0.5147135916480967,0.9689049121225778,0.6467800180046126
CoreData,northest_booked_latitude_fast,0.45132743362831856,0.8502992358615841,0.39090909090909093,0.3435114503816794,0.6447368421052632,0.44727272727272727,0.5952266252215864,0.4156435208069289,0.3536127384707826,0.21334090409680842
CoreData,avg_daily_price_by_user_by_booking_length_category,1.0,1.0,0.8772727272727273,0.8053435114503816,1.0,1.0,1.0,1.0,0.7684428135081582,1.0
